STATUS;VALID_ON;LOT_TYPE_FK;IDE_SCENARIO_FK;IDE_GL_REF;IDE_GL_DETAIL_REF;IDE_GL_ENTITY_REF;TYP_AMOUNT;IDE_CONTRACT_REF;IDE_INTERNAL_PARTY_REF;TYP_DC_INDICATOR;CCY_ISO_CURRENCY;OCA_AMOUNT;RCA_AMOUNT;TYP_GL_TYPE;DTE_VALUE;AUDIT_INFO
5;20230731;1;1;GEL_2423114;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423115;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423116;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423117;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423118;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423119;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423120;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2423200;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2511000;0;0;1;;CTP_CKV;2;EUR;200000.00;200000.00;2;31/07/2023;
5;20230731;1;1;GEL_2531000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2532000;0;0;1;;CTP_CKV;2;EUR;1650000.00;1650000.00;2;31/07/2023;
5;20230731;1;1;GEL_2535000;0;0;1;;CTP_CKV;2;EUR;133388.47;133388.47;2;31/07/2023;
5;20230731;1;1;GEL_2541000;0;0;1;;CTP_CKV;2;EUR;1550999.62;1550999.62;2;31/07/2023;
5;20230731;1;1;GEL_2542000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2611010;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2620000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2730000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2811000;0;0;1;;CTP_CKV;2;EUR;75000000.00;75000000.00;2;31/07/2023;
5;20230731;1;1;GEL_2841000;0;0;1;;CTP_CKV;2;EUR;5446039.62;5446039.62;2;31/07/2023;
5;20230731;1;1;GEL_2842000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2843000;0;0;1;;CTP_CKV;2;EUR;6579530.00;6579530.00;2;31/07/2023;
5;20230731;1;1;GEL_2843100;0;0;1;;CTP_CKV;2;EUR;10765.29;10765.29;2;31/07/2023;
5;20230731;1;1;GEL_2844000;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2844001;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2850000;0;0;1;;CTP_CKV;2;EUR;33421623.58;33421623.58;2;31/07/2023;
5;20230731;1;1;GEL_2850001;0;0;1;;CTP_CKV;1;EUR;0.00;0.00;2;31/07/2023;
5;20230731;1;1;GEL_2860000;0;0;1;;CTP_CKV;2;EUR;8365188.02;8365188.02;2;31/07/2023;
5;20230731;1;1;GEL_2860000;0;0;504;;CTP_CKV;2;EUR;8365188.02;8365188.02;2;31/07/2023;
